var2,var3,var4
0.8,0.38,NA
0.8,0.38,NA
0.8,0.38,NA
1.04,0.44,NA
1.04,0.44,NA
1.04,0.44,NA
1.04,0.44,NA
0.83,0.47,NA
0.83,0.47,NA
0.83,0.47,NA
0.83,0.47,NA
0.86,0.36,NA
0.86,0.36,NA
0.86,0.36,NA
0.86,0.36,NA
0.82,0.37,NA
0.82,0.37,NA
0.82,0.37,NA
0.82,0.37,NA
0.84,0.34,NA
0.84,0.34,NA
0.84,0.34,NA
0.84,0.34,NA
0.96,0.41,NA
0.96,0.41,NA
0.96,0.41,NA
0.96,0.41,NA
0.77,0.35,NA
0.77,0.35,NA
0.77,0.35,NA
0.77,0.35,NA
1.62,0.7,NA
1.62,0.7,NA
1.62,0.7,NA
1.62,0.7,NA
1.58,0.68,NA
1.58,0.68,NA
1.58,0.68,NA
1.58,0.68,NA
1.41,0.68,NA
1.41,0.68,NA
1.41,0.68,NA
1.41,0.68,NA
1.92,0.85,NA
1.92,0.85,NA
1.92,0.85,NA
1.92,0.85,NA
0.76,0.31,NA
0.76,0.31,NA
0.76,0.31,NA
0.76,0.31,NA
1.52,0.65,NA
1.52,0.65,NA
1.52,0.65,NA
1.52,0.65,NA
0.93,0.5,NA
0.93,0.5,NA
0.93,0.5,NA
0.93,0.5,NA
0.91,0.47,NA
0.91,0.47,NA
0.91,0.47,NA
0.91,0.47,NA
0.94,0.43,NA
0.94,0.43,NA
0.94,0.43,NA
0.94,0.43,NA
0.71,0.37,NA
0.71,0.37,NA
0.71,0.37,NA
0.71,0.37,NA
1.47,0.72,NA
1.47,0.72,NA
1.47,0.72,NA
1.47,0.72,NA
0.76,0.44,NA
0.76,0.44,NA
0.76,0.44,NA
0.76,0.44,NA
0.71,0.36,NA
0.71,0.36,NA
0.71,0.36,NA
0.71,0.36,NA
0.59,0.3,NA
0.59,0.3,NA
0.59,0.3,NA
0.59,0.3,NA
1.15,0.48,NA
1.15,0.48,NA
1.15,0.48,NA
1.15,0.48,NA
0.48,0.17,NA
0.48,0.17,NA
0.48,0.17,NA
